Player None 2025-01-21 21:26:52.973801 CLICKED, PLAYABLE=1 
Player None 2025-01-21 21:26:53.004377 CLICKED, PLAYABLE=1 
Player None 2025-01-21 21:26:53.032945 CLICKED, PLAYABLE=1 
Player None 2025-01-21 21:26:53.064541 CLICKED, PLAYABLE=1 
Player None 2025-01-21 21:26:53.104025 CLICKED, PLAYABLE=1 
Player None 2025-01-21 21:26:53.134092 CLICKED, PLAYABLE=1 
Player None 2025-01-21 21:26:53.168770 CLICKED, PLAYABLE=1 
Player None 2025-01-21 21:26:53.197288 CLICKED, PLAYABLE=1 
Player None 2025-01-21 21:26:53.229869 CLICKED, PLAYABLE=1 
Player None 2025-01-21 21:26:53.290177 CLICKED, PLAYABLE=1 
Player None 2025-01-21 21:26:53.352966 CLICKED, PLAYABLE=1 
Player None 2025-01-21 21:26:53.390597 CLICKED, PLAYABLE=1 
CONNECTION HANDLER 2025-01-21 21:26:53.403123 COLOR: None, VALUE: None 
Player None 2025-01-21 21:26:53.423194 CLICKED, PLAYABLE=1 
Player None 2025-01-21 21:26:53.458410 CLICKED, PLAYABLE=1 
CONNECTION HANDLER 2025-01-21 21:26:53.494022 COLOR: None, VALUE: None 
Player None 2025-01-21 21:26:53.496025 CLICKED, PLAYABLE=1 
CONNECTION HANDLER 2025-01-21 21:26:53.521267 COLOR: None, VALUE: None 
Player None 2025-01-21 21:26:53.543320 CLICKED, PLAYABLE=1 
Player None 2025-01-21 21:26:53.574895 CLICKED, PLAYABLE=1 
CONNECTION HANDLER 2025-01-21 21:26:53.601484 COLOR: None, VALUE: None 
CONNECTION HANDLER 2025-01-21 21:26:53.601990 COLOR: None, VALUE: None 
Player None 2025-01-21 21:26:53.604998 CLICKED, PLAYABLE=1 
Player None 2025-01-21 21:26:53.648654 CLICKED, PLAYABLE=1 
Player None 2025-01-21 21:26:53.683236 CLICKED, PLAYABLE=1 
CONNECTION HANDLER 2025-01-21 21:26:53.702280 COLOR: None, VALUE: None 
CONNECTION HANDLER 2025-01-21 21:26:53.702280 COLOR: None, VALUE: None 
Player None 2025-01-21 21:26:53.712321 CLICKED, PLAYABLE=1 
Player None 2025-01-21 21:26:53.749409 CLICKED, PLAYABLE=1 
Player None 2025-01-21 21:26:53.777978 CLICKED, PLAYABLE=1 
CONNECTION HANDLER 2025-01-21 21:26:53.802543 COLOR: yellow, VALUE: y3 
CONNECTION HANDLER 2025-01-21 21:26:53.802543 COLOR: None, VALUE: None 
Player None 2025-01-21 21:26:53.810076 CLICKED, PLAYABLE=1 
CONNECTION HANDLER 2025-01-21 21:26:53.827124 COLOR: yellow, VALUE: y3 
Player None 2025-01-21 21:26:53.833145 CLICKED, PLAYABLE=1 
Player None 2025-01-21 21:26:53.848321 CLICKED, PLAYABLE=1 
Player None 2025-01-21 21:26:53.854239 CLICKED, PLAYABLE=2 
Player None 2025-01-21 21:26:53.873288 CLICKED, PLAYABLE=3 
Player None 2025-01-21 21:26:53.878801 CLICKED, PLAYABLE=1 
Player None 2025-01-21 21:26:53.901853 CLICKED, PLAYABLE=1 
Player None 2025-01-21 21:26:53.911443 CLICKED, PLAYABLE=1 
Player None 2025-01-21 21:26:53.919980 CLICKED, PLAYABLE=2 
Player None 2025-01-21 21:26:53.934501 CLICKED, PLAYABLE=3 
Player None 2025-01-21 21:26:53.941020 CLICKED, PLAYABLE=1 
Player None 2025-01-21 21:26:53.963074 CLICKED, PLAYABLE=1 
Player None 2025-01-21 21:26:53.973594 CLICKED, PLAYABLE=1 
Player None 2025-01-21 21:26:53.982122 CLICKED, PLAYABLE=2 
Player None 2025-01-21 21:26:53.998160 CLICKED, PLAYABLE=3 
Player None 2025-01-21 21:26:54.002169 CLICKED, PLAYABLE=1 
Player None 2025-01-21 21:26:54.025212 CLICKED, PLAYABLE=1 
